NIVNOME,TERCODIGO,TERNOME,TERNOMEPADRAO,TERCAPITAL,TERAREA,NIVAMC
Municípios,4115101,Mariluz,MARILUZ,true,444.7,true
AMC 91-00,411520,Maringá,MARINGA,true,490.9,true
AMC 70-00,411520,Maringá,MARINGA,true,490.9,true
Municípios,4115200,Maringá,MARINGA,true,490.9,true
AMC 70-00,411530,Mariópolis,MARIOPOLIS,true,231.8,true
AMC 91-00,411530,Mariópolis,MARIOPOLIS,true,231.8,true
Municípios,4115309,Mariópolis,MARIOPOLIS,true,231.8,true
Municípios,4115358,Maripá,MARIPA,true,320.3,true
Municípios,4115408,Marmeleiro,MARMELEIRO,true,392,true
Municípios,4115457,Marquinho,MARQUINHO,true,509.8,true
AMC 91-00,411550,Marumbi,MARUMBI,true,208.7,true
AMC 70-00,411550,Marumbi,MARUMBI,true,208.7,true
Municípios,4115507,Marumbi,MARUMBI,true,208.7,true
Municípios,4115606,Matelândia,MATELANDIA,true,650.9,true
AMC 70-00,411570,Matinhos,MATINHOS,true,117.6,true
AMC 91-00,411570,Matinhos,MATINHOS,true,117.6,true
Municípios,4115705,Matinhos,MATINHOS,true,117.6,true
Municípios,4115739,Mato Rico,MATO RICO,true,393.2,true
Municípios,4115754,Mauá da Serra,MAUA DA SERRA,true,110,true
Municípios,4115804,Medianeira,MEDIANEIRA,true,295.5,true
Municípios,4115853,Mercedes,MERCEDES,true,201.3,true
AMC 91-00,411590,Mirador,MIRADOR,true,213.6,true
AMC 70-00,411590,Mirador,MIRADOR,true,213.6,true
Municípios,4115903,Mirador,MIRADOR,true,213.6,true
Municípios,4116000,Miraselva,MIRASELVA,true,91.5,true
AMC 91-00,411605,Missal,MISSAL,true,346.9,true
Municípios,4116059,Missal,MISSAL,true,346.9,true
AMC 91-00,411610,Moreira Sales,MOREIRA SALES,true,345.7,true
AMC 70-00,411610,Moreira Sales,MOREIRA SALES,true,345.7,true
Municípios,4116109,Moreira Sales,MOREIRA SALES,true,345.7,true
AMC 40-00,411620,Morretes,MORRETES,true,695,true
AMC 70-00,411620,Morretes,MORRETES,true,695,true
AMC 91-00,411620,Morretes,MORRETES,true,695,true
AMC 60-00,411620,Morretes,MORRETES,true,695,true
Municípios,4116208,Morretes,MORRETES,true,695,true
AMC 91-00,411630,Munhoz de Melo,MUNHOZ DE MELO,true,136.2,true
AMC 70-00,411630,Munhoz de Melo,MUNHOZ DE MELO,true,136.2,true
Municípios,4116307,Munhoz de Melo,MUNHOZ DE MELO,true,136.2,true
AMC 70-00,411640,Nossa Senhora das Graças,NOSSA SENHORA DAS GRACAS,true,183,true
AMC 91-00,411640,Nossa Senhora das Graças,NOSSA SENHORA DAS GRACAS,true,183,true
Municípios,4116406,Nossa Senhora das Graças,NOSSA SENHORA DAS GRACAS,true,183,true
AMC 91-00,411650,Nova Aliança do Ivaí,NOVA ALIANCA DO IVAI,true,129.4,true
AMC 70-00,411650,Nova Aliança do Ivaí,NOVA ALIANCA DO IVAI,true,129.4,true
Municípios,4116505,Nova Aliança do Ivaí,NOVA ALIANCA DO IVAI,true,129.4,true
AMC 70-00,411660,Nova América da Colina,NOVA AMERICA DA COLINA,true,124.9,true
AMC 91-00,411660,Nova América da Colina,NOVA AMERICA DA COLINA,true,124.9,true
Municípios,4116604,Nova América da Colina,NOVA AMERICA DA COLINA,true,124.9,true
AMC 91-00,411670,Nova Aurora,NOVA AURORA,true,472.4,true
AMC 70-00,411670,Nova Aurora,NOVA AURORA,true,472.4,true
Municípios,4116703,Nova Aurora,NOVA AURORA,true,472.4,true
AMC 70-00,411680,Nova Cantu,NOVA CANTU,true,586.5,true
AMC 91-00,411680,Nova Cantu,NOVA CANTU,true,586.5,true
Municípios,4116802,Nova Cantu,NOVA CANTU,true,586.5,true
AMC 91-00,411690,Nova Esperança,NOVA ESPERANCA,true,402.5,true
AMC 70-00,411690,Nova Esperança,NOVA ESPERANCA,true,402.5,true
Municípios,4116901,Nova Esperança,NOVA ESPERANCA,true,402.5,true
Municípios,4116950,Nova Esperança do Sudoeste,NOVA ESPERANCA DO SUDOESTE,true,202.9,true
AMC 70-00,411700,Nova Fátima,NOVA FATIMA,true,280.5,true
AMC 91-00,411700,Nova Fátima,NOVA FATIMA,true,280.5,true
AMC 60-00,411700,Nova Fátima,NOVA FATIMA,true,280.5,true
Municípios,4117008,Nova Fátima,NOVA FATIMA,true,280.5,true
Municípios,4117057,Nova Laranjeiras,NOVA LARANJEIRAS,true,1191.9,true
AMC 91-00,411710,Nova Londrina,NOVA LONDRINA,true,269.6,true
AMC 70-00,411710,Nova Londrina,NOVA LONDRINA,true,269.6,true
Municípios,4117107,Nova Londrina,NOVA LONDRINA,true,269.6,true
AMC 70-00,411720,Nova Olímpia,NOVA OLIMPIA,true,134.3,true
AMC 91-00,411720,Nova Olímpia,NOVA OLIMPIA,true,134.3,true
Municípios,4117206,Nova Olímpia,NOVA OLIMPIA,true,134.3,true
Municípios,4117214,Nova Santa Bárbara,NOVA SANTA BARBARA,true,75.2,true
AMC 91-00,411722,Nova Santa Rosa,NOVA SANTA ROSA,true,207.7,true
Municípios,4117222,Nova Santa Rosa,NOVA SANTA ROSA,true,207.7,true
AMC 91-00,411725,Nova Prata do Iguaçu,NOVA PRATA DO IGUACU,true,344.6,true
Municípios,4117255,Nova Prata do Iguaçu,NOVA PRATA DO IGUACU,true,344.6,true
AMC 91-00,411727,Nova Tebas,NOVA TEBAS,true,553.9,true
Municípios,4117271,Nova Tebas,NOVA TEBAS,true,553.9,true
Municípios,4117297,Novo Itacolomi,NOVO ITACOLOMI,true,159.3,true
AMC 91-00,411730,Ortigueira,ORTIGUEIRA,true,2451.6,true
AMC 60-00,411730,Ortigueira,ORTIGUEIRA,true,2451.6,true
AMC 70-00,411730,Ortigueira,ORTIGUEIRA,true,2451.6,true
Municípios,4117305,Ortigueira,ORTIGUEIRA,true,2451.6,true
AMC 70-00,411740,Ourizona,OURIZONA,true,175.9,true
AMC 91-00,411740,Ourizona,OURIZONA,true,175.9,true
Municípios,4117404,Ourizona,OURIZONA,true,175.9,true
AMC 91-00,411745,Ouro Verde do Oeste,OURO VERDE DO OESTE,true,294.6,true
Municípios,4117453,Ouro Verde do Oeste,OURO VERDE DO OESTE,true,294.6,true
AMC 91-00,411750,Paiçandu,PAICANDU,true,171,true
AMC 70-00,411750,Paiçandu,PAICANDU,true,171,true
Municípios,4117503,Paiçandu,PAICANDU,true,171,true
Municípios,4117602,Palmas,PALMAS,true,1586.1,true
AMC 70-00,411770,Palmeira,PALMEIRA,true,1465,true
AMC 91-00,411770,Palmeira,PALMEIRA,true,1465,true
AMC 60-00,411770,Palmeira,PALMEIRA,true,1465,true
Municípios,4117701,Palmeira,PALMEIRA,true,1465,true
Municípios,4117800,Palmital,PALMITAL,true,661.1,true
Municípios,4117909,Palotina,PALOTINA,true,575.8,true
AMC 91-00,411800,Paraíso do Norte,PARAISO DO NORTE,true,204.7,true
AMC 70-00,411800,Paraíso do Norte,PARAISO DO NORTE,true,204.7,true
Municípios,4118006,Paraíso do Norte,PARAISO DO NORTE,true,204.7,true
AMC 70-00,411810,Paranacity,PARANACITY,true,343.8,true
AMC 91-00,411810,Paranacity,PARANACITY,true,343.8,true
Municípios,4118105,Paranacity,PARANACITY,true,343.8,true
Municípios,4118204,Paranaguá,PARANAGUA,true,807.1,true
AMC 91-00,411830,Paranapoema,PARANAPOEMA,true,182.3,true
AMC 70-00,411830,Paranapoema,PARANAPOEMA,true,182.3,true
Municípios,4118303,Paranapoema,PARANAPOEMA,true,182.3,true
AMC 70-00,411840,Paranavaí,PARANAVAI,true,1206.1,true
AMC 91-00,411840,Paranavaí,PARANAVAI,true,1206.1,true
Municípios,4118402,Paranavaí,PARANAVAI,true,1206.1,true
Municípios,4118451,Pato Bragado,PATO BRAGADO,true,128.6,true
Municípios,4118501,Pato Branco,PATO BRANCO,true,540.1,true
AMC 91-00,411860,Paula Freitas,PAULA FREITAS,true,421,true
AMC 70-00,411860,Paula Freitas,PAULA FREITAS,true,421,true
Municípios,4118600,Paula Freitas,PAULA FREITAS,true,421,true
AMC 70-00,411870,Paulo Frontin,PAULO FRONTIN,true,367.7,true
AMC 91-00,411870,Paulo Frontin,PAULO FRONTIN,true,367.7,true
Municípios,4118709,Paulo Frontin,PAULO FRONTIN,true,367.7,true
AMC 91-00,411880,Peabiru,PEABIRU,true,467,true
AMC 70-00,411880,Peabiru,PEABIRU,true,467,true
Municípios,4118808,Peabiru,PEABIRU,true,467,true
Municípios,4118857,Perobal,PEROBAL,true,428.7,true
Municípios,4118907,Pérola,PEROLA,true,232.5,true
Municípios,4119004,Pérola d'Oeste,PEROLA D'OESTE,true,224.3,true
AMC 70-00,411910,Piên,PIEN,true,260.4,true
AMC 91-00,411910,Piên,PIEN,true,260.4,true
Municípios,4119103,Piên,PIEN,true,260.4,true
Municípios,4119152,Pinhais,PINHAIS,true,60.7,true
AMC 91-00,411920,Pinhalão,PINHALAO,true,245.2,true
AMC 60-00,411920,Pinhalão,PINHALAO,true,245.2,true
AMC 70-00,411920,Pinhalão,PINHALAO,true,245.2,true
Municípios,4119202,Pinhalão,PINHALAO,true,245.2,true
Municípios,4119251,Pinhal de São Bento,PINHAL DE SAO BENTO,true,96.9,true
Municípios,4119301,Pinhão,PINHAO,true,2005.6,true
AMC 40-00,411940,Piraí do Sul,PIRAI DO SUL,true,1406.2,true
AMC 20-00,411940,Piraí do Sul,PIRAI DO SUL,true,1406.2,true
AMC 70-00,411940,Piraí do Sul,PIRAI DO SUL,true,1406.2,true
AMC 60-00,411940,Piraí do Sul,PIRAI DO SUL,true,1406.2,true
AMC 91-00,411940,Piraí do Sul,PIRAI DO SUL,true,1406.2,true
Municípios,4119400,Piraí do Sul,PIRAI DO SUL,true,1406.2,true
Municípios,4119509,Piraquara,PIRAQUARA,true,227.7,true
Municípios,4119608,Pitanga,PITANGA,true,1676.5,true
Municípios,4119657,Pitangueiras,PITANGUEIRAS,true,123.2,true
AMC 91-00,411970,Planaltina do Paraná,PLANALTINA DO PARANA,true,353.8,true
AMC 70-00,411970,Planaltina do Paraná,PLANALTINA DO PARANA,true,353.8,true
Municípios,4119707,Planaltina do Paraná,PLANALTINA DO PARANA,true,353.8,true
AMC 70-00,411980,Planalto,PLANALTO,true,330.5,true
AMC 91-00,411980,Planalto,PLANALTO,true,330.5,true
Municípios,4119806,Planalto,PLANALTO,true,330.5,true
Municípios,4119905,Ponta Grossa,PONTA GROSSA,true,2067.9,true
Municípios,4119954,Pontal do Paraná,PONTAL DO PARANA,true,201.6,true
